"ID","Player","Username","From","To","Tm","Lg","WS","G","GS","MP","PER","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","ORtg","DRtg","OWS","DWS","WS_48","OBPM","DBPM","BPM","VORP","Olympics2016","OlympicsFinalist","AllStar","Pos","HighRated"
1,"LeBron James","jamesle01",2017,2018,"CLE","NBA",9.4,40,40,1666,31.3,0.247,0.419,3.6,22,12.9,40.8,2,2.4,13.6,33.5,123,108,7.4,2,0.271,9.6,3.2,12.9,6.3,0,1,1,"SF",2
2,"Kevin Durant","duranke01",2017,2019,"GSW","NBA",9,48,48,1782,26.2,0.321,0.389,1.9,18.3,10.5,20.6,1.1,2.8,10.6,30.5,122,106,6.4,2.6,0.242,5.3,1.3,6.6,3.9,1,1,1,"SF",3
3,"Stephen Curry","curryst01",2017,2019,"GSW","NBA",8.8,54,53,2002,23.8,0.552,0.304,2.8,14.9,9.1,25.6,2,0.8,12.3,29.5,120,108,6.3,2.5,0.21,6.9,0.6,7.5,4.8,0,1,1,"PG",2
4,"Kawhi Leonard","leonaka01",2017,2019,"TOT","NBA",7.7,36,36,1368,29,0.287,0.456,5.9,19.8,12.7,20.2,2.2,1.7,10.7,30.8,124,105,5.5,2.2,0.27,7.2,2.3,9.4,3.9,0,1,1,"SF",2
5,"Draymond Green","greendr01",2017,2019,"GSW","NBA",7.2,60,60,2263,16.8,0.368,0.321,5.3,23.3,14.7,27.9,2.2,3.6,21.5,16.3,113,103,2.9,4.2,0.152,0.9,5.7,6.6,4.9,1,1,0,"PF",2
6,"James Harden","hardeja01",2017,2019,"HOU","NBA",5.1,39,39,1452,24.5,0.491,0.399,2.3,14.7,8.6,36.9,2.9,1.6,14.7,36.4,110,106,3,2.1,0.169,6.3,1.7,8,3.7,0,1,1,"PG",2
7,"Kyle Lowry","lowryky01",2017,2019,"TOR","NBA",4.7,42,42,1562,16.5,0.503,0.299,1.9,11.8,6.8,29.5,1.9,0.7,15.4,19.1,117,110,3,1.6,0.144,2.9,0.7,3.6,2.2,1,1,1,"PG",3
8,"Chris Paul","paulch01",2017,2019,"TOT","NBA",4.5,33,33,1174,22.2,0.37,0.243,2.6,16.3,9.5,33.8,2.8,0.9,12.3,26.3,116,106,2.8,1.7,0.184,4.8,2.2,7,2.7,0,1,0,"PG",1
9,"Andre Iguodala","iguodan01",2017,2019,"GSW","NBA",3.8,52,27,1449,13.7,0.452,0.276,3.8,12.9,8.6,16.2,2,2.4,11.4,13.4,117,108,2,1.9,0.127,0.8,2.9,3.6,2.1,0,0,0,"SF",0
10,"Klay Thompson","thompkl01",2017,2019,"GSW","NBA",3.6,59,59,2208,12.9,0.448,0.112,1.8,9.8,6,7.9,1.3,1.1,8.6,21.4,107,111,1.5,2.1,0.078,0.3,-0.2,0.1,1.2,1,1,1,"SG",3
11,"George Hill","hillge01",2017,2019,"TOT","NBA",3.2,42,26,1233,13.7,0.375,0.331,3.3,8.2,5.7,14.4,1,1,9.3,16.2,120,112,2.2,0.9,0.124,1.2,-0.1,1.2,1,0,0,0,"PG",0
12,"P.J. Tucker","tuckepj01",2017,2019,"TOT","NBA",3.2,38,29,1246,11.8,0.653,0.2,5.3,17.5,11.4,6.2,1.4,1.7,10.1,10.7,123,109,1.8,1.4,0.123,0.4,2.5,2.9,1.5,0,0,0,"PF",0
13,"Kevin Love","loveke01",2017,2018,"CLE","NBA",3.1,39,39,1238,17.4,0.438,0.28,8.2,30.2,19.3,8.1,1.5,1.7,11.4,23.1,111,108,1.6,1.6,0.122,0,0.3,0.2,0.7,0,1,0,"PF",1
14,"Khris Middleton","middlkh01",2017,2019,"MIL","NBA",3,28,28,1021,16.4,0.389,0.238,1,15.5,8.4,19,1.4,0.4,11.5,21.7,113,107,1.6,1.4,0.142,2.1,0.3,2.4,1.1,0,1,1,"SF",2
15,"Kevon Looney","looneke01",2018,2019,"GSW","NBA",2.7,42,6,819,14.5,0.012,0.303,11.8,13.2,12.6,6.6,1.6,2.2,10.1,11.2,131,109,1.8,0.9,0.157,0.8,2.4,3.1,1.1,0,0,0,"C",0
16,"Terry Rozier","roziete01",2017,2019,"BOS","NBA",2.7,45,19,1135,15.1,0.538,0.226,2.4,15.9,9.1,22.7,1.8,0.9,8.6,19.7,111,108,1.4,1.4,0.114,1.1,1.4,2.5,1.3,0,0,0,"PG",0
17,"Jimmy Butler","butleji01",2017,2019,"TOT","NBA",2.6,23,23,830,19.8,0.246,0.396,4.7,14.4,9.7,21.2,1.9,1.5,9.4,23.6,117,110,1.8,0.8,0.152,2.6,1.3,3.9,1.2,1,1,0,"SF-SG",2
17,"Jimmy Butler","butleji01",2017,2019,"TOT","NBA",2.6,23,23,830,19.8,0.246,0.396,4.7,14.4,9.7,21.2,1.9,1.5,9.4,23.6,117,110,1.8,0.8,0.152,2.6,1.3,3.9,1.2,1,1,0,"SG",2
17,"Jimmy Butler","butleji01",2017,2019,"TOT","NBA",2.6,23,23,830,19.8,0.246,0.396,4.7,14.4,9.7,21.2,1.9,1.5,9.4,23.6,117,110,1.8,0.8,0.152,2.6,1.3,3.9,1.2,1,1,0,"SF",2
18,"Jaylen Brown","brownja02",2017,2019,"BOS","NBA",2.1,44,24,1072,14.2,0.413,0.231,3.5,14.7,9.1,8,1.2,1.2,9.8,22,107,109,0.8,1.2,0.092,-0.2,0.1,-0.1,0.5,0,1,0,"SG",1
19,"Derrick Favors","favorde01",2017,2019,"UTA","NBA",2.1,27,13,614,18.5,0.048,0.452,8.9,19.3,14,7.4,1.6,4.1,8.7,16,122,107,1.2,0.9,0.162,-0.1,4,3.9,0.9,0,0,0,"C",0
20,"Jayson Tatum","tatumja01",2018,2019,"BOS","NBA",2.1,28,28,978,15.4,0.273,0.365,1.9,14.1,8,12.3,1.7,1.6,12,22.8,106,106,0.7,1.4,0.105,-0.7,1.8,1.1,0.8,0,1,0,"SF",1
21,"LaMarcus Aldridge","aldrila01",2017,2019,"SAS","NBA",2,28,28,958,18.7,0.068,0.295,8.6,19.1,13.7,9.8,1,2.4,8.1,25.5,111,113,1.3,0.7,0.1,-0.2,0.7,0.4,0.6,0,1,1,"C",2
22,"John Wall","walljo01",2017,2018,"WAS","NBA",2,19,19,741,23.4,0.201,0.343,1.6,11.4,6.5,47.2,2.4,2.8,14.9,32.3,110,111,1.3,0.8,0.132,4.2,0.9,5.1,1.3,0,0,0,NA,0
23,"Jae Crowder","crowdja01",2017,2019,"TOT","NBA",1.8,34,23,1049,12.6,0.52,0.268,3,19,10.7,10.4,1.9,0.7,6.4,18,109,111,0.8,1,0.082,-0.8,0.9,0.2,0.6,0,0,0,"SF",0
24,"Eric Gordon","gordoer01",2017,2019,"HOU","NBA",1.8,39,15,1317,12.1,0.6,0.217,1.6,7.9,4.8,7.8,0.9,1.7,10.8,20.3,106,112,0.8,1,0.065,0,-0.7,-0.7,0.4,0,0,0,"SG",0
25,"JaVale McGee","mcgeeja01",2017,2018,"GSW","NBA",1.7,29,10,307,25.2,0.009,0.237,14.3,17.4,15.9,4.2,0.8,7.1,9.4,19.8,135,102,1.1,0.6,0.268,2.1,2.5,4.7,0.5,0,1,0,"C",1
26,"Paul Millsap","millspa01",2017,2019,"TOT","NBA",1.7,20,20,688,17,0.215,0.445,5.1,18.6,11.7,9.3,1.6,2.2,11.8,22,112,109,0.9,0.8,0.118,-0.4,1.6,1.1,0.5,0,0,0,"PF",0
27,"Otto Porter","porteot01",2017,2018,"WAS","NBA",1.7,18,18,586,15.6,0.34,0.287,3.2,19.7,11.4,7.6,2.3,1.8,7.1,13.5,125,109,1,0.7,0.142,0.8,1.9,2.7,0.7,0,0,0,NA,0
28,"Gordon Hayward","haywago01",2017,2019,"TOT","NBA",1.6,20,11,678,16.4,0.357,0.368,1.7,15.4,8.6,15.2,1.2,0.8,11.5,23.3,111,110,0.9,0.8,0.115,1.4,1.1,2.5,0.8,0,1,0,"PF",1
29,"Kyle Korver","korveky01",2017,2019,"TOT","NBA",1.6,44,11,861,10.7,0.803,0.153,1.2,10.6,5.9,5.4,1,1.5,8.3,14.1,118,114,1.2,0.5,0.09,0.9,-1,-0.2,0.4,0,0,0,"SG-PF",0
30,"Thaddeus Young","youngth01",2017,2019,"IND","NBA",1.6,15,15,507,17.6,0.135,0.213,12.3,15.2,13.7,11.2,3.1,2,10.5,15.6,116,105,0.8,0.8,0.149,0.9,4.7,5.6,1,0,0,0,"PF",0
31,"Trevor Ariza","arizatr01",2017,2018,"HOU","NBA",1.5,28,28,995,8.8,0.644,0.191,1.9,11.4,6.7,6.7,1.7,0.3,6.9,12.3,109,111,0.5,0.9,0.071,-0.7,1.2,0.5,0.6,0,0,0,"SF",0
32,"Bradley Beal","bealbr01",2017,2018,"WAS","NBA",1.5,19,19,721,17.7,0.398,0.229,2.7,7.6,5.2,12.2,1.9,1.2,9.4,26.8,111,114,1,0.5,0.102,2.8,-1.7,1,0.6,0,1,1,"SG",2
33,"Damian Lillard","lillada01",2017,2019,"POR","NBA",1.5,24,24,963,18.4,0.448,0.318,1.6,11,6.2,24.5,1.9,0.6,13.7,28.9,107,115,1.1,0.4,0.077,3.7,-0.9,2.8,1.1,0,1,1,"PG",2
34,"J.J. Redick","redicjj01",2017,2019,"TOT","NBA",1.5,29,29,924,10.2,0.608,0.265,0.5,4.9,2.7,8.5,0.6,0.4,11.8,18.3,111,113,0.9,0.6,0.076,1.1,-2.2,-1.1,0.2,0,0,0,"SG",0
35,"Anthony Davis","davisan02",2018,2018,"NOP","NBA",1.4,9,9,358,25.8,0.108,0.314,7.2,27.2,17.6,7,2.3,4.6,9,30.5,111,101,0.7,0.7,0.184,0.5,2.8,3.3,0.5,0,1,1,"C",2
36,"DeMar DeRozan","derozde01",2017,2019,"TOT","NBA",1.4,27,27,978,18.2,0.103,0.359,2.3,13.4,7.9,19.4,1.4,0.6,9.5,29.8,107,115,1,0.5,0.07,-0.4,-0.7,-1.1,0.2,1,1,0,"SG",2
37,"Brook Lopez","lopezbr01",2019,2019,"MIL","NBA",1.4,15,15,438,13.9,0.56,0.216,2.9,15.5,9.4,7.1,0.7,5.8,6.4,15.3,115,102,0.6,0.8,0.153,0.2,3.8,4,0.7,0,1,0,"C",1
38,"Marcus Morris","morrima03",2018,2019,"BOS","NBA",1.4,28,8,816,12.1,0.371,0.298,4.3,19.2,11.8,6.6,0.5,1.1,7.1,20.5,105,107,0.4,1,0.084,-1.9,0.2,-1.8,0.1,0,0,0,"PF",0
39,"Paul George","georgpa01",2017,2019,"TOT","NBA",1.2,15,15,627,17.7,0.456,0.372,2.6,17.5,10,16.6,1.7,1,13.7,28.8,107,112,0.7,0.5,0.089,1.6,-0.5,1.1,0.5,1,1,1,"SF",3
40,"CJ McCollum","mccolcj01",2017,2019,"POR","NBA",1.2,24,24,930,17.4,0.325,0.168,2.4,10.5,6.4,14.8,1.2,1.2,9,27.7,107,116,1,0.3,0.064,1.9,-1.6,0.2,0.5,0,0,0,"SG",0
41,"Larry Nance","nancela02",2018,2018,"CLE","NBA",1.2,20,0,307,20.3,0.017,0.517,13.3,21.8,17.4,9.3,2.7,4.2,14,12.9,130,105,0.8,0.5,0.193,1,3.7,4.8,0.5,0,0,0,"C",0
42,"J.R. Smith","smithjr01",2017,2018,"CLE","NBA",1.2,40,39,1193,8,0.699,0.115,1.5,8.5,5,4.6,1.5,0.7,9.4,12.7,108,114,0.6,0.7,0.049,0,-0.1,-0.2,0.6,0,0,0,NA,0
43,"Fred VanVleet","vanvlfr01",2017,2019,"TOR","NBA",1.2,37,1,735,10.5,0.612,0.182,1.2,7,4.1,16.2,1.3,0.8,10.1,15.9,109,111,0.6,0.7,0.08,-0.2,-0.5,-0.7,0.2,0,0,0,"PG",0
44,"Danny Green","greenda02",2017,2019,"TOT","NBA",1.1,45,45,1223,7.9,0.726,0.125,3.1,11.3,7.1,5.8,1.7,2.4,12.6,13.1,98,109,-0.3,1.4,0.044,-1.4,2.5,1.1,0.9,0,0,0,"SG",0
45,"Gary Harris","harriga01",2019,2019,"DEN","NBA",1.1,14,14,517,13.5,0.361,0.241,1.8,10.1,5.9,9.3,1.2,1.2,5.9,16,119,114,0.9,0.2,0.1,0.6,0.3,0.9,0.4,0,0,0,NA,0
46,"Tobias Harris","harrito02",2019,2019,"PHI","NBA",1.1,12,12,443,14.5,0.377,0.156,3.1,22.5,13.3,16.4,1.4,1.2,9.6,18.8,110,106,0.4,0.7,0.118,0.5,2.3,2.9,0.5,0,1,0,"PF",1
46,"Tobias Harris","harrito02",2019,2019,"PHI","NBA",1.1,12,12,443,14.5,0.377,0.156,3.1,22.5,13.3,16.4,1.4,1.2,9.6,18.8,110,106,0.4,0.7,0.118,0.5,2.3,2.9,0.5,0,1,0,"PF",1
46,"Tobias Harris","harrito02",2019,2019,"PHI","NBA",1.1,12,12,443,14.5,0.377,0.156,3.1,22.5,13.3,16.4,1.4,1.2,9.6,18.8,110,106,0.4,0.7,0.118,0.5,2.3,2.9,0.5,0,1,0,"PF",1
47,"Kyle Anderson","anderky01",2017,2018,"SAS","NBA",1,20,2,268,20.4,0.167,0.179,6.9,18.9,12.7,16.6,3.1,1.1,9.9,16.8,125,109,0.6,0.3,0.172,2.2,2.9,5,0.5,0,0,0,NA,0
48,"Jordan Bell","belljo01",2018,2019,"GSW","NBA",1,32,2,279,16.1,0.016,0.381,9.2,16.8,13.1,12.8,1.8,5.3,9.8,12.9,123,104,0.5,0.5,0.169,-1,4.5,3.5,0.4,0,0,0,"C",0
49,"Mike Conley","conlemi01",2017,2017,"MEM","NBA",1,6,6,224,27.4,0.369,0.359,0.6,11,5.8,38.5,2.5,1.2,9.1,29.4,125,118,0.9,0.1,0.204,9.9,-1.4,8.5,0.6,0,1,0,"PG",1
50,"Pat Connaughton","connapa01",2017,2019,"TOT","NBA",1,22,0,407,12.8,0.574,0.129,3.3,22,12.9,10.8,0.8,3.1,7.8,12.1,114,104,0.4,0.7,0.123,-0.8,2.9,2.1,0.4,0,0,0,"SG",0
51,"Jrue Holiday","holidjr01",2018,2018,"NOP","NBA",1,9,9,348,19.7,0.294,0.176,2.8,12.1,7.6,25.6,1.3,1.1,11.2,25.3,112,110,0.6,0.3,0.132,3.5,0.8,4.3,0.6,0,0,0,"SG",0
52,"Greg Monroe","monrogr01",2017,2019,"TOT","NBA",1,27,1,336,19.8,0.031,0.473,15.1,23,18.8,10,2.3,2.5,15.7,25.2,108,102,0.3,0.7,0.142,-1.7,2.4,0.7,0.2,0,0,0,NA,0
53,"Norman Powell","powelno01",2017,2019,"TOR","NBA",1,38,5,633,11.8,0.464,0.212,1.8,12.8,7.3,10.8,1.5,0.4,10.3,19.6,105,109,0.2,0.7,0.072,-1.1,0,-1,0.2,0,0,0,"SG",0
54,"Al-Farouq Aminu","aminual01",2017,2019,"POR","NBA",0.9,24,20,643,13.3,0.495,0.247,7.4,20,13.5,6.9,1.2,2.1,12.4,16.7,108,113,0.5,0.4,0.066,-0.1,0.7,0.6,0.4,0,0,0,"PF",0
55,"Patrick Beverley","beverpa01",2017,2019,"TOT","NBA",0.9,17,17,520,13.4,0.526,0.141,6.1,17.2,11.5,17.5,2.1,1.3,14.5,16,111,113,0.5,0.4,0.084,1.2,1.7,2.9,0.6,0,0,0,"PG",0
56,"Jerami Grant","grantje01",2017,2019,"OKC","NBA",0.9,16,5,420,13.4,0.321,0.292,5.3,12,8.6,5.2,0.9,3.1,9.8,13.6,119,113,0.6,0.3,0.102,-1,0.7,-0.4,0.2,0,0,0,"PF",0
57,"Maurice Harkless","harklma01",2017,2019,"POR","NBA",0.9,22,21,540,13.2,0.295,0.282,7.5,12,9.7,8.3,2.1,3.4,9.8,15.5,109,111,0.4,0.4,0.077,-0.2,2.4,2.2,0.6,0,0,0,"SF",0
58,"Markieff Morris","morrima02",2017,2019,"TOT","NBA",0.9,24,19,613,12.6,0.271,0.238,6.8,19.9,13.3,8.9,1.4,3.6,11.1,18.4,105,110,0.2,0.7,0.068,-2,1.6,-0.3,0.3,0,0,0,NA,0
59,"Domantas Sabonis","sabondo01",2017,2019,"TOT","NBA",0.9,13,0,268,17.5,0.128,0.383,9.2,18.6,13.6,13.6,0.9,1.5,9.8,21.2,115,106,0.5,0.4,0.16,-0.4,1.6,1.3,0.2,0,0,0,"C",0
60,"Eric Bledsoe","bledser01",2018,2019,"MIL","NBA",0.8,22,22,648,13.7,0.349,0.264,3.8,9.2,6.6,21.8,1.7,1.7,13.8,24,100,106,0,0.9,0.062,-0.6,0.2,-0.4,0.3,0,0,0,"PG",0
61,"Torrey Craig","craigto01",2019,2019,"DEN","NBA",0.8,14,11,330,12.2,0.522,0.232,6.6,16.5,11.5,5.1,1.1,1.2,7.3,11.1,127,113,0.6,0.2,0.114,0.3,0.6,1,0.2,0,0,0,"SF",0
62,"Patrick McCaw","mccawpa01",2017,2019,"TOT","NBA",0.8,32,3,245,13.2,0.491,0.309,6.1,10.8,8.6,10.5,2.6,1,6,11.7,127,106,0.4,0.4,0.165,0.6,2.1,2.7,0.3,0,0,0,NA,0
63,"Victor Oladipo","oladivi01",2017,2018,"TOT","NBA",0.8,12,12,442,15.8,0.436,0.25,1.3,21.3,11.4,19.1,2.8,1.4,12.6,24.8,102,106,0.1,0.7,0.086,-1.1,3.2,2,0.5,0,1,1,"SG",2
64,"Marcus Smart","smartma01",2017,2019,"BOS","NBA",0.8,35,7,1019,11.5,0.528,0.365,4.5,12.2,8.2,24.5,2.8,2.2,18.7,18.4,97,108,-0.5,1.3,0.037,-1.9,2.8,0.9,0.7,0,1,0,"SG",1
65,"Isaiah Thomas","thomais02",2017,2017,"BOS","NBA",0.8,15,15,521,18.1,0.414,0.425,1.1,9.8,5.3,33,1.3,0.3,13.9,31.3,110,118,0.7,0.1,0.077,2.2,-2.6,-0.3,0.2,0,0,0,NA,0
66,"Myles Turner","turnemy01",2017,2019,"IND","NBA",0.8,15,15,455,12.2,0.248,0.301,4.1,18.8,11.3,4.6,1,3.5,11.7,17.2,106,108,0.2,0.6,0.082,-3.2,2.4,-0.8,0.1,0,1,0,"C",1
67,"Russell Westbrook","westbru01",2017,2019,"OKC","NBA",0.8,16,16,626,21.3,0.295,0.321,4.5,25.6,14.9,46.1,2,0.7,14.8,39.1,101,108,0,0.8,0.06,3.6,2.7,6.3,1.3,0,1,1,"PG",2
68,"James Ennis","ennisja01",2017,2019,"TOT","NBA",0.7,17,4,391,11.3,0.5,0.324,7.3,12.5,10,7.4,1.2,1.2,12.7,15.5,113,113,0.4,0.3,0.081,1,0,0.9,0.3,0,0,0,NA,0
69,"DeAndre Jordan","jordade01",2017,2017,"LAC","NBA",0.7,7,7,264,17.3,0.016,0.918,11.7,37.6,24.3,3.2,0.6,2.2,16.6,18.7,113,107,0.3,0.4,0.128,-2,1.2,-0.8,0.1,1,0,0,"C",1
69,"DeAndre Jordan","jordade01",2017,2017,"LAC","NBA",0.7,7,7,264,17.3,0.016,0.918,11.7,37.6,24.3,3.2,0.6,2.2,16.6,18.7,113,107,0.3,0.4,0.128,-2,1.2,-0.8,0.1,1,0,0,"C",1
69,"DeAndre Jordan","jordade01",2017,2017,"LAC","NBA",0.7,7,7,264,17.3,0.016,0.918,11.7,37.6,24.3,3.2,0.6,2.2,16.6,18.7,113,107,0.3,0.4,0.128,-2,1.2,-0.8,0.1,1,0,0,"C",1
70,"Robin Lopez","lopezro01",2017,2017,"CHI","NBA",0.7,6,6,162,23.4,0,0.154,19.7,10.2,14.9,5.6,1,3.8,12.6,17.7,134,114,0.5,0.1,0.195,3.4,0.5,3.9,0.2,0,0,0,"C",0
71,"T.J. McConnell","mccontj01",2018,2019,"PHI","NBA",0.7,19,2,230,15.7,0.048,0.079,3.2,11.7,7.5,22.9,1.7,0.4,9.7,13.2,126,108,0.5,0.3,0.155,1,-0.5,0.4,0.1,0,0,0,"PG",0
72,"Mason Plumlee","plumlma01",2019,2019,"DEN","NBA",0.7,14,0,218,16.4,0.021,0.596,12.3,17.6,14.9,13.8,1.7,3.6,11.9,13.7,122,109,0.4,0.2,0.145,-0.3,3.4,3.1,0.3,0,1,0,"C",1
73,"Rajon Rondo","rondora01",2017,2018,"TOT","NBA",0.7,11,11,369,16.9,0.212,0.136,4.8,19.1,12.2,48,2.6,0.7,22.8,19,105,106,0.2,0.5,0.093,-0.2,2.8,2.6,0.4,0,0,0,NA,0
74,"Mike Scott","scottmi01",2018,2019,"TOT","NBA",0.7,16,0,319,12,0.511,0.091,3.7,15.3,9.7,4.2,0.8,0.3,11.6,14,120,112,0.5,0.2,0.106,0.9,-0.8,0.1,0.2,0,0,0,"PF",0
75,"Delon Wright","wrighde01",2017,2018,"TOR","NBA",0.7,19,0,307,17,0.318,0.271,2.8,11.3,6.9,18,3.1,2.6,12.8,16.3,117,111,0.5,0.3,0.117,0.6,2.1,2.6,0.4,0,0,0,"PG",0
76,"Ian Clark","clarkia01",2017,2018,"TOT","NBA",0.6,25,0,409,11,0.441,0.145,1.7,7.4,4.7,7.4,1.6,0.4,11.5,18.3,106,110,0.2,0.4,0.072,-0.8,-0.4,-1.2,0.1,0,0,0,"SG",0
77,"Gerald Green","greenge01",2017,2019,"TOT","NBA",0.6,41,7,561,10.7,0.709,0.102,1.6,15,8.2,3.2,0.9,1.7,8.5,18.8,105,112,0.2,0.4,0.055,-1.9,-2.3,-4.2,-0.3,0,0,0,"SG",0
78,"Jeff Green","greenje02",2018,2018,"CLE","NBA",0.6,22,2,523,10.3,0.493,0.324,1.6,10.7,6,9.4,0.7,2.6,9.5,15.9,107,113,0.3,0.3,0.053,-1.6,-0.5,-2.1,0,0,0,0,"PF",0
79,"Montrezl Harrell","harremo01",2017,2019,"TOT","NBA",0.6,11,0,179,23.6,0.015,0.485,7.7,16.8,12.1,15,0.8,1.9,11.1,20.8,133,121,0.7,-0.1,0.168,4.4,-0.7,3.7,0.3,0,1,0,"C",1
80,"Amir Johnson","johnsam01",2017,2019,"TOT","NBA",0.6,26,10,256,13.2,0.055,0.236,14.6,10.8,12.7,8.1,1.4,2.4,14.1,12.1,122,112,0.4,0.2,0.115,-0.6,0.7,0.1,0.1,0,0,0,NA,0
81,"Iman Shumpert","shumpim01",2017,2019,"TOT","NBA",0.6,25,0,384,8.5,0.558,0.244,2.2,15,8.9,6.2,1.4,0.7,8.6,12.1,112,112,0.3,0.3,0.077,-1.3,0.5,-0.8,0.1,0,0,0,"SG",0
82,"Ryan Anderson","anderry01",2017,2018,"HOU","NBA",0.5,22,9,431,8.2,0.67,0.143,4.9,12.6,8.8,4.4,0.8,0.6,9.2,13.4,106,112,0.1,0.4,0.056,-1.4,-0.4,-1.8,0,0,0,0,NA,0
83,"Malcolm Brogdon","brogdma01",2017,2019,"MIL","NBA",0.5,20,13,567,10.2,0.41,0.112,2.4,14.2,8.3,17.2,0.8,0.5,14.7,18.8,100,109,-0.1,0.7,0.046,-1.7,-0.2,-1.9,0,0,1,0,"SG",1
84,"Zach Collins","colliza01",2018,2019,"POR","NBA",0.5,20,0,345,13.9,0.315,0.261,5.8,15.8,10.7,8.8,1.4,5.8,15.1,18.3,106,110,0.2,0.3,0.075,-1.1,2.6,1.5,0.3,0,0,0,"C",0
85,"Rodney Hood","hoodro01",2017,2019,"TOT","NBA",0.5,44,1,910,9.6,0.406,0.24,2.1,10.2,6.1,7.7,0.9,0.7,8.1,18.6,102,115,0.1,0.4,0.025,-1.8,-1.3,-3.1,-0.3,0,0,0,"SG",0
86,"Meyers Leonard","leoname01",2017,2019,"POR","NBA",0.5,16,3,209,14.8,0.5,0.122,4,22.9,13.2,10.3,0.5,0.4,9.3,17.8,116,114,0.3,0.1,0.105,1.1,-1.4,-0.2,0.1,0,0,0,"C",0
87,"Tony Snell","snellto01",2017,2019,"MIL","NBA",0.5,22,8,347,7.5,0.73,0,1.3,8.6,4.9,5.8,0.7,1.6,6.3,10.8,109,110,0.2,0.4,0.07,-0.8,0.1,-0.7,0.1,0,0,0,"SF",0
88,"Lance Stephenson","stephla01",2017,2018,"IND","NBA",0.5,11,0,256,15.7,0.373,0.11,1.9,16.6,9.3,20.2,0.8,0.4,9.5,24.4,111,113,0.4,0.2,0.097,0.5,-0.3,0.2,0.1,0,0,0,"SG",0
89,"Jeff Teague","teaguje01",2017,2018,"TOT","NBA",0.5,9,9,295,15.7,0.365,0.365,1.1,10.6,5.9,27.6,1.2,1.7,16.5,20.2,115,119,0.5,0,0.083,1.5,-0.4,1.1,0.2,0,0,0,NA,0
90,"Lou Williams","willilo02",2017,2019,"TOT","NBA",0.5,17,0,448,16,0.257,0.315,3.1,8.3,5.7,23.2,1.3,0.4,11.2,27,107,118,0.4,0.1,0.054,0.5,-2.3,-1.8,0,0,0,0,"SG",0
91,"Jarrett Allen","allenja01",2019,2019,"BRK","NBA",0.4,5,5,110,22.5,0,0.625,13,19.3,15.9,15.9,1.3,2,16.4,18,130,115,0.4,0,0.182,2.6,1.5,4.1,0.2,0,0,0,"C",0
92,"D.J. Augustin","augusdj01",2019,2019,"ORL","NBA",0.4,5,5,141,16.7,0.512,0.39,0.7,5.8,3.1,25.5,0.7,0.7,12.7,17.3,126,116,0.4,0,0.138,3,-2.1,0.8,0.1,0,0,0,"PG",0
93,"Malik Beasley","beaslma01",2019,2019,"DEN","NBA",0.4,14,0,281,12.1,0.505,0.333,4,14.1,9,7.3,0.6,0.3,6.2,18,113,115,0.3,0.1,0.075,-0.5,-1.8,-2.3,0,0,0,0,"SG",0
94,"Corey Brewer","breweco01",2018,2018,"OKC","NBA",0.4,6,6,151,11.8,0.44,0.24,2.8,6.2,4.5,4.8,2.3,3,6.7,8.6,136,108,0.3,0.2,0.14,0.9,1.7,2.6,0.2,0,0,0,NA,0
95,"Sterling Brown","brownst02",2018,2019,"MIL","NBA",0.4,14,5,175,11.6,0.558,0.256,3.1,15,9.3,15,1.9,1.5,14.3,13.8,109,103,0.1,0.3,0.122,-0.9,2.1,1.3,0.1,0,0,0,NA,0
96,"Alec Burks","burksal01",2018,2018,"UTA","NBA",0.4,9,0,120,22.3,0.313,0.234,1.8,20,10.8,26.4,1.6,0.7,10.2,28.9,114,107,0.3,0.2,0.169,3.1,0.7,3.8,0.2,0,0,0,"SG",0
97,"Quinn Cook","cookqu01",2018,2019,"GSW","NBA",0.4,34,0,368,10.5,0.474,0.153,1.3,10.8,6.2,9,0.9,0.7,7,18.8,105,112,0.2,0.3,0.057,-1.9,-1.6,-3.5,-0.1,0,0,0,"PG",0
98,"Robert Covington","covinro01",2018,2018,"PHI","NBA",0.4,10,8,281,9.6,0.578,0.193,4.5,15.8,10.1,12.7,1.9,2.9,10.9,15.1,100,105,0,0.4,0.073,-0.6,1.7,1.1,0.2,0,0,0,NA,0
99,"Kenneth Faried","farieke01",2019,2019,"HOU","NBA",0.4,6,0,56,22.9,0.077,0.462,6.2,35.1,21.1,5.9,1.8,0,0,12.3,166,103,0.3,0.1,0.304,1.5,0.6,2.1,0.1,0,0,0,NA,0
100,"Raymond Felton","feltora01",2017,2019,"TOT","NBA",0.4,18,0,263,10.6,0.408,0.118,1.8,9.6,5.6,13,2.7,1,11.1,15.5,102,109,0,0.3,0.065,-1.4,1.3,-0.1,0.1,0,0,0,NA,0
101,"Dwight Howard","howardw01",2017,2017,"ATL","NBA",0.4,6,6,157,13.9,0,0.528,12.8,33,22.8,7.6,1.9,2.5,19.9,14.9,105,102,0,0.3,0.114,-3.9,5.3,1.4,0.1,0,1,0,"C",1
102,"James Johnson","johnsja01",2018,2018,"MIA","NBA",0.4,5,5,161,16.3,0.31,0.333,1.9,18,9.8,24.1,1.8,3.2,17.2,15.6,118,112,0.3,0.1,0.113,1.2,1.8,3,0.2,0,0,0,NA,0
