"ID","Player","Username","From","To","Tm","Lg","WS","G","GS","MP","PER","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","ORtg","DRtg","OWS","DWS","WS_48","OBPM","DBPM","BPM","VORP","Olympics2016","OlympicsFinalist","AllStar","Pos","HighRated"
197,"Terrance Ferguson","fergute01",2018,2019,"OKC","NBA",0,8,5,134,3.8,0.731,0,2.4,8.2,5.2,7.5,0.7,0,16.1,9.9,101,116,0,0,0.013,-2.9,0,-2.9,0,0,0,0,"SG",0
198,"Melvin Frazier","frazime01",2019,2019,"ORL","NBA",0,3,0,15,13.5,0,0.4,6.8,23.5,14.5,0,3.3,0,0,17.4,95,107,0,0,0.036,-7.2,-2,-9.2,0,0,0,0,NA,0
199,"Markelle Fultz","fultzma01",2018,2018,"PHI","NBA",0,3,0,23,5.7,0,0.571,0,14.2,7,28.8,4.3,0,10.2,17.8,83,102,0,0,-0.003,-6.2,0.7,-5.5,0,0,0,0,NA,0
200,"Marcus Georges-Hunt","georgma01",2018,2018,"MIN","NBA",0,2,0,3,0,0,0,37.4,0,18.1,0,0,0,0,15.2,66,124,0,0,-0.223,-7.8,-6.1,-13.9,0,0,0,0,NA,0
201,"Spencer Hawes","hawessp01",2017,2017,"MIL","NBA",0,3,0,17,10.2,0.4,0,13.2,15.3,14.1,9.7,0,5.7,16.7,16.8,101,106,0,0,0.074,-3.2,3,-0.2,0,0,0,0,NA,0
202,"Aaron Holiday","holidaa01",2019,2019,"IND","NBA",0,3,0,13,-1.3,0.4,0,0,0,0,0,0,0,16.7,21.2,76,112,0,0,-0.103,-7.6,-3.4,-11,0,0,0,0,NA,0
203,"Richaun Holmes","holmeri01",2018,2018,"PHI","NBA",0,3,0,11,-4.1,0,0,0,9.9,4.9,11.4,0,0,0,3.8,56,112,0,0,-0.02,-7.1,-0.6,-7.7,0,0,0,0,"C",0
204,"Danuel House","houseda01",2019,2019,"HOU","NBA",0,7,0,141,4,0.838,0.216,1.7,15.5,8.8,1,1.1,1.3,9,13.9,84,110,-0.2,0.1,-0.013,-4.5,-1,-5.5,-0.1,0,0,0,NA,0
205,"Josh Huestis","huestjo01",2018,2018,"OKC","NBA",0,4,0,19,8,0,1,0,16.5,8.3,0,2.6,4.8,0,6.6,109,103,0,0,0.098,-5.3,1.8,-3.5,0,0,0,0,NA,0
206,"Aaron Jackson","jacksaa01",2018,2018,"HOU","NBA",0,7,0,17,8.7,0.5,0.5,12.9,13.2,13,17.9,0,0,29.1,18.1,97,114,0,0,0.002,-3.1,-1.1,-4.3,0,0,0,0,NA,0
207,"Brandon Jennings","jennibr01",2017,2018,"TOT","NBA",0,14,0,183,6.5,0.395,0.263,3.1,8.9,6,17.5,0.5,0,17.5,12.2,101,117,0,0.1,0.011,-3.4,-2.1,-5.5,-0.2,0,0,0,NA,0
208,"Dakari Johnson","johnsda04",2018,2018,"OKC","NBA",0,2,0,3,0,NA,NA,0,0,0,0,0,0,NA,0,NA,118,0,0,-0.001,-5.5,0,-5.5,0,0,0,0,NA,0
209,"Joe Johnson","johnsjo02",2017,2018,"TOT","NBA",0,19,2,380,10.6,0.32,0.1,2.5,14.1,8.2,13.8,0.8,0.5,9.3,21.5,97,114,-0.2,0.3,0.006,-2.3,0.1,-2.2,0,0,0,0,NA,0
210,"Wesley Johnson","johnswe01",2017,2017,"LAC","NBA",0,3,0,11,6.7,NA,NA,0,23.8,11.6,0,4.9,0,0,3.9,123,102,0,0,0.124,-4.6,3.6,-1,0,0,0,0,NA,0
211,"Damian Jones","jonesda03",2017,2019,"GSW","NBA",0,12,1,40,8.3,0,0.7,14.5,15.9,15.1,0,2.4,2,23.4,18.6,95,104,0,0.1,0.045,-6.5,-1.7,-8.3,-0.1,0,0,0,NA,0
212,"Tyus Jones","jonesty01",2018,2018,"MIN","NBA",0,4,0,55,6.1,0.286,0,0,17.2,8.9,19.3,0.9,0,12.5,6.6,91,118,0,0,-0.021,-4.4,1.7,-2.7,0,0,0,0,"PG",0
213,"Jon Leuer","leuerjo01",2019,2019,"DET","NBA",0,1,0,5,0.5,0,0.5,0,0,0,0,0,0,0,20.5,77,127,0,0,-0.175,-7.8,-6.4,-14.2,0,0,0,0,NA,0
214,"Shelvin Mack","macksh01",2017,2017,"UTA","NBA",0,9,3,155,9.7,0.306,0.306,2.3,17.1,9.7,18.4,1.3,0,13.9,19.9,98,113,-0.1,0.1,0.014,-3.1,0.8,-2.3,0,0,0,0,NA,0
