ID,Player,Username,Season,Age,Born,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP
48,Khem Birch,birchkh01,2018-19,26,ca,ORL,NBA,2.8,50,1,643,19.2,0.007,0.55,13,18.8,15.8,8.5,1.4,3.8,9.6,14.1,134,106,1.8,1,0.212,0.2,2.3,2.4,0.7
49,Gorgui Dieng,dienggo01,2018-19,29,sn,MIN,NBA,2.8,76,2,1031,18.1,0.149,0.281,8.3,24.1,16.1,10.3,2.2,3.4,11.9,19.6,114,108,1.5,1.3,0.132,-0.9,1.4,0.5,0.7
50,Bogdan Bogdanović,bogdabo01,2018-19,26,rs,SAC,NBA,2.7,70,17,1947,14.1,0.431,0.188,2.1,11,6.4,19.3,1.7,0.7,11.1,22.3,107,113,1.3,1.4,0.067,0.5,-1.2,-0.7,0.6
51,Lauri Markkanen,markkla01,2018-19,21,fi,CHI,NBA,2.7,52,51,1682,17.1,0.418,0.245,4.7,25.9,15.2,7.2,1.1,1.7,8.8,25.1,107,112,1.3,1.5,0.078,-0.3,-1.6,-1.9,0
52,Cheick Diallo,diallch01,2018-19,22,ml,NOP,NBA,2.6,64,1,896,17.5,0.015,0.247,8.8,29.3,19.2,5.1,1.5,3,14,16,119,108,1.4,1.2,0.14,-2.1,0.5,-1.6,0.1
53,Willy Hernangómez,hernawi01,2018-19,24,es,CHO,NBA,2.6,58,3,812,20.4,0.132,0.488,15.3,26.3,20.7,11.5,1,2.1,13.9,22.1,118,111,1.8,0.8,0.153,0.2,-0.4,-0.2,0.4
54,Tristan Thompson,thomptr01,2018-19,27,ca,CLE,NBA,2.6,43,40,1198,18.4,0,0.279,15.4,25.7,20.3,11.2,1.2,1.2,12.1,17.7,117,116,2.1,0.5,0.105,0.2,0.1,0.3,0.7
55,Marco Belinelli,belinma01,2018-19,32,it,SAS,NBA,2.5,79,1,1815,11.9,0.572,0.18,1,10.8,5.9,10.1,0.9,0.4,8.8,19.8,109,114,1.4,1.1,0.065,0.3,-2.4,-2.1,0
56,Aron Baynes,baynear01,2018-19,32,nz,BOS,NBA,2.4,51,18,821,14,0.274,0.278,11.4,19.8,15.6,9.3,0.7,3.7,13.8,15.2,118,108,1.3,1.1,0.139,-1.2,1.4,0.2,0.5
57,OG Anunoby,anunoog01,2018-19,21,gb,TOR,NBA,2,67,6,1352,9.8,0.5,0.153,4.8,10.8,7.9,4.7,1.6,1.3,11.3,15.5,104,109,0.3,1.7,0.07,-1.3,0.1,-1.2,0.3
