ID,Player,Username,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
449,Jonathon Simmons,simmojo02,SF,29,PHI,15,219,12.9,0.553,0.328,0.391,2,10.3,6.3,20.7,2.4,0.4,13.8,16.7,0.2,0.2,0.5,0.101,-1.1,-1,-2.1,0
450,Kobi Simmons,simmoko01,PG,21,CLE,1,2,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.033,-6.3,-0.9,-7.3,0
451,Anfernee Simons,simonan01,SG,19,POR,20,141,11.1,0.535,0.46,0.254,2.3,7.4,4.9,13.7,0.3,0,13.6,24.3,0,0,0.1,0.02,-1.6,-4.7,-6.3,-0.2
452,Marcus Smart,smartma01,SG,24,BOS,80,2200,13.1,0.568,0.61,0.228,2.8,8.6,5.7,19.1,3.1,1.1,16.5,14.6,2.2,3.1,5.3,0.116,0.6,1.3,1.8,2.1
453,Dennis Smith,smithde03,PG,21,TOT,53,1508,12.3,0.502,0.32,0.24,2.2,8.7,5.5,27.3,2.1,1.1,17.6,24.8,-1.2,1.2,0,0.001,-1.7,-0.9,-2.5,-0.2
453,Dennis Smith,smithde03,PG,21,DAL,32,908,11.5,0.527,0.35,0.23,2.1,9.3,5.7,24.1,2.1,1,20.3,23.3,-0.7,0.9,0.2,0.01,-2.2,-0.3,-2.4,-0.1
453,Dennis Smith,smithde03,PG,21,NYK,21,600,13.5,0.473,0.283,0.253,2.4,7.9,5.1,32.2,2.2,1.3,14.2,27,-0.5,0.3,-0.2,-0.014,-0.9,-1.8,-2.7,-0.1
454,Ish Smith,smithis01,PG,30,DET,56,1251,11.8,0.485,0.276,0.127,1.9,11.1,6.3,25.4,1.1,0.7,10.6,19.9,0.5,1.1,1.7,0.064,-1.7,-1.1,-2.8,-0.2
455,J.R. Smith,smithjr01,SG,33,CLE,11,222,7.8,0.444,0.494,0.127,0,9.4,4.5,13.8,2.5,1.2,11.7,18.6,-0.3,0.1,-0.2,-0.038,-3.5,-1.7,-5.2,-0.2
456,Jason Smith,smithja02,PF-C,32,TOT,20,190,9.8,0.492,0.441,0.271,9,20.2,14.6,9.7,0.7,3.1,16.4,17.5,0,0.2,0.2,0.038,-3.7,-0.6,-4.3,-0.1
456,Jason Smith,smithja02,C,32,WAS,12,130,11.7,0.52,0.27,0.324,9,22.1,15.4,12.3,0.4,3.2,14.2,16.1,0.1,0.1,0.2,0.07,-2.9,-0.3,-3.2,0
456,Jason Smith,smithja02,PF,32,MIL,6,40,6.3,0.468,0.692,0.154,8.1,19.2,14,3.1,2.3,4.2,26.5,19.8,-0.1,0.1,0,-0.02,-6.9,1.2,-5.7,0
456,Jason Smith,smithja02,C,32,NOP,2,20,4.6,0.405,0.778,0.222,10.5,10.2,10.4,6.2,0,0,9.2,22.3,0,0,0,-0.049,-2.6,-5.8,-8.4,0
457,Zhaire Smith,smithzh01,SG,19,PHI,6,111,9.5,0.533,0.471,0.235,2.9,9.3,6.2,12.3,0.9,1.4,13.8,16.4,0,0.1,0.1,0.048,-2.3,-1.7,-4,-0.1
458,Tony Snell,snellto01,SF,27,MIL,74,1304,10.7,0.585,0.565,0.116,2.4,9.4,6.1,6.7,0.9,1.2,5.7,12.9,1.6,1.6,3.2,0.117,-0.7,-0.4,-1,0.3
459,Ray Spalding,spaldra01,PF,21,TOT,14,148,14.6,0.516,0.064,0.255,11.1,25.1,18,5.1,2.9,4.5,14.7,17.8,0,0.2,0.2,0.051,-4.7,1.4,-3.4,-0.1
459,Ray Spalding,spaldra01,PF,21,DAL,1,1,0,,,,0,0,0,0,0,0,,0,0,0,0,0,-6.6,0.5,-6.1,0
459,Ray Spalding,spaldra01,PF,21,PHO,13,147,14.7,0.516,0.064,0.255,11.1,25.3,18.1,5.2,2.9,4.5,14.7,17.9,0,0.2,0.2,0.051,-4.7,1.4,-3.4,-0.1
